id,rated,turns,victory_status,winner,increment_code,opening_name
TZJHLljE,FALSE,13,outoftime,white,15+2,Slav Defense: Exchange Variation
l1NXvwaE,TRUE,16,resign,black,5+10,Nimzowitsch Defense: Kennedy Variation
mIICvQHh,TRUE,61,mate,white,5+10,King's Pawn Game: Leonardis Variation
kWKvrqYL,TRUE,61,mate,white,20+0,Queen's Pawn Game: Zukertort Variation
9tXo1AUZ,TRUE,95,mate,white,30+3,Philidor Defense
MsoDV9wj,FALSE,5,draw,draw,10+0,Sicilian Defense: Mongoose Variation
qwU9rasv,TRUE,33,resign,white,10+0,Blackmar-Diemer Gambit: Pietrowsky Defense
RVN0N3VK,FALSE,9,resign,black,15+30,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation
dwF3DJHO,TRUE,66,resign,black,15+0,Italian Game: Schilling-Kostic Gambit
afoMwnLg,TRUE,119,mate,white,10+0,Scandinavian Defense: Mieses-Kotroc Variation
HgKLWPsz,FALSE,39,mate,white,20+60,Van't Kruijs Opening
Vf5fKWzI,FALSE,38,resign,black,20+60,French Defense: Advance Variation |  Paulsen Attack
HRti5mKv,FALSE,60,resign,black,5+40,French Defense: Knight Variation
2fEjSei6,FALSE,31,resign,black,8+0,French Defense #2
u7i6dOaJ,FALSE,31,mate,white,15+15,Four Knights Game: Italian Variation
guanvMR5,FALSE,43,resign,black,15+15,Italian Game: Two Knights Defense |  Knight Attack
PmpkWkmm,FALSE,52,resign,black,15+15,Four Knights Game: Italian Variation
EwaK0IsE,FALSE,66,mate,black,15+16,Four Knights Game: Italian Variation
yrSDozT3,FALSE,101,resign,black,15+15,Philidor Defense #3
x31mXlvc,FALSE,25,resign,white,11+0,Queen's Pawn Game
oQklnWWp,FALSE,14,resign,black,15+15,Italian Game: Anti-Fried Liver Defense
QFCZwY1f,FALSE,3,resign,white,30+60,Horwitz Defense
5cgBygpI,FALSE,17,resign,white,15+5,Sicilian Defense: Bowdler Attack
UhXXBOMY,TRUE,36,resign,white,10+0,English Opening: King's English Variation |  Reversed Closed Sicilian
mCij4hBq,TRUE,13,resign,black,10+0,Sicilian Defense: Smith-Morra Gambit #2
ifUMWtVj,TRUE,69,mate,white,10+10,Queen's Pawn Game: Chigorin Variation
Wf0zuLQQ,TRUE,43,resign,white,10+10,Scotch Game: Haxo Gambit
srz9QfSN,TRUE,54,mate,black,10+10,Queen's Pawn Game: Chigorin Variation
NS6ccssb,TRUE,53,resign,black,10+10,Slav Defense
M3vpf2Ki,TRUE,66,mate,black,10+10,Queen's Gambit Refused: Marshall Defense
fXhNOnOn,TRUE,64,resign,black,10+10,Sicilian Defense: Smith-Morra Gambit #2
DiCTkvZH,TRUE,64,mate,black,10+10,Sicilian Defense: Canal Attack |  Main Line
FSkgvV2E,TRUE,54,resign,white,10+10,Sicilian Defense
F1mRjzPr,FALSE,21,resign,black,15+3,Queen's Gambit Accepted: Central Variation |  Greco Variation
Lq24M4KQ,FALSE,11,resign,white,18+0,Sicilian Defense: Bowdler Attack
lHNM8cl5,TRUE,19,resign,black,10+0,Robatsch (Modern) Defense
GfeEgLV3,TRUE,28,resign,white,10+0,Blackmar-Diemer Gambit: Tartakower Variation
OR6aULrW,FALSE,22,resign,black,15+0,Indian Game
Yg006qwa,FALSE,37,resign,white,15+0,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line
G5S21pXK,FALSE,34,resign,white,30+30,English Opening: King's English Variation |  Reversed Sicilian
R9a2DLwe,FALSE,32,draw,draw,20+25,Sicilian Defense: Dragon Variation
r4LcBZA7,FALSE,71,resign,black,5+5,Sicilian Defense: Closed Variation
SDDXGw21,FALSE,30,resign,white,30+0,Sicilian Defense: Smith-Morra Gambit #2
oqoT4DLS,FALSE,66,resign,white,40+40,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line
eSociDPG,FALSE,41,resign,white,20+0,Sicilian Defense: Smith-Morra Gambit #2
mpzYDfIK,FALSE,49,resign,white,15+0,Sicilian Defense: Bowdler Attack
27zreJYy,FALSE,3,resign,black,15+0,Scandinavian Defense
IRYkgI8N,FALSE,7,resign,white,10+0,Sicilian Defense: Bowdler Attack
tLnhk43J,FALSE,35,mate,white,40+40,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line
iq3Kz06t,FALSE,41,mate,white,40+40,Scandinavian Defense: Mieses-Kotroc Variation
AAw1TiNN,FALSE,5,resign,black,10+0,French Defense: Normal Variation
n4vRYUCW,FALSE,7,resign,white,10+0,King's Pawn Game: Beyer Gambit
KYPdQv8e,FALSE,53,mate,white,10+0,Dutch Defense
p30PeXvE,FALSE,36,resign,black,10+0,English Opening: King's English Variation
PBS4FEld,TRUE,8,resign,white,16+0,Zukertort Opening: Ross Gambit
0lDqWVlz,TRUE,3,resign,white,6+10,Sicilian Defense: Closed Variation
O3wdIwg7,TRUE,28,resign,white,10+0,Vienna Game: Mengarini Variation
48ktrxLp,TRUE,30,resign,black,10+0,Philidor Defense: Larsen Variation
i2GBGO0R,TRUE,44,resign,black,10+0,Scotch Game
QZSTu1aT,TRUE,29,resign,white,10+0,Philidor Defense: Lopez Countergambit
9tU9MM6P,TRUE,37,resign,black,8+10,French Defense: Knight Variation
ztpC1S2c,TRUE,49,resign,white,8+12,Modern Defense
qc8aH5XL,TRUE,32,resign,black,8+12,Horwitz Defense
6sTz6t7D,TRUE,25,resign,white,8+12,Blumenfeld Countergambit #2
XuyVUkDi,TRUE,40,mate,black,5+10,French Defense #2
D5Oa4vGO,TRUE,39,resign,white,7+12,Zukertort Opening: Kingside Fianchetto
6QAiH2Yy,TRUE,57,resign,white,15+10,Indian Game
l7top9ps,TRUE,78,resign,black,5+40,French Defense: Queen's Knight
nG3Of11I,TRUE,61,resign,white,15+5,Queen's Pawn Game: Mason Attack
cUzM68JF,TRUE,44,resign,black,20+5,Queen's Pawn Game: Mason Attack
NZSBXWl2,TRUE,62,mate,black,20+5,Queen's Pawn
DHuXFP6C,TRUE,87,mate,white,20+5,Indian Game
00R4UOcU,TRUE,54,mate,black,20+5,French Defense: Advance |  Steinitz Variation
IN15cBnB,TRUE,54,resign,black,15+5,Queen's Pawn Game: Mason Attack
WYOts2ME,TRUE,37,resign,white,15+5,French Defense: Exchange Variation
oWFQ8mnz,TRUE,50,resign,white,15+5,Horwitz Defense
i2I8y9Xh,TRUE,131,resign,white,30+0,Queen's Pawn Game: London System
osPCRdxJ,TRUE,48,resign,white,30+0,French Defense: Chigorin Variation
Mi1AmkiI,TRUE,47,resign,black,15+5,Queen's Pawn Game: London System
7kK30TmL,TRUE,64,mate,black,15+5,French Defense: La Bourdonnais Variation
ThCXomTn,TRUE,61,resign,white,15+5,Queen's Pawn Game: Mason Attack
4dH72B3d,TRUE,57,mate,white,15+5,Queen's Pawn Game: London System
4jRtIZTy,TRUE,51,resign,white,15+5,English Opening: Anglo-Lithuanian Variation
wNK2HdLb,TRUE,58,mate,black,15+5,Crab Opening
d62Tg4dc,TRUE,71,resign,white,15+5,Queen's Pawn Game: Mason Attack
TaSQfvww,TRUE,114,resign,white,15+5,Queen's Pawn
Xwpzq87m,TRUE,39,resign,white,15+5,French Defense: Winawer Variation |  Advance Variation #2
AHmgnsKz,TRUE,20,resign,black,15+5,Queen's Pawn Game: London System
MfNml1rl,TRUE,48,resign,black,30+0,Queen's Pawn Game: Mason Attack
mEAvshF2,TRUE,34,mate,black,20+10,French Defense: Knight Variation
ySsVdRfw,TRUE,51,resign,white,20+10,Queen's Pawn Game: London System
ylLqmXwb,TRUE,69,resign,white,20+10,French Defense: Queen's Knight
8mceLIXN,TRUE,28,resign,white,20+10,Queen's Pawn Game: Steinitz Countergambit
YmJpuJkM,TRUE,62,resign,black,20+10,Queen's Pawn Game: London System
PNNfempy,TRUE,62,mate,black,20+10,Queen's Indian Defense
TVfozmF5,TRUE,85,mate,white,20+10,Horwitz Defense
4LX77G3m,TRUE,38,resign,white,20+10,Queen's Pawn Game: London System
nBfSissu,FALSE,14,resign,white,45+0,Italian Game: Giuoco Pianissimo |  Normal
h1unxHlo,TRUE,113,draw,draw,15+0,Queen's Gambit Refused: Marshall Defense
OIyTAHCP,TRUE,62,resign,white,15+0,Queen's Gambit Refused: Marshall Defense
bnCnIJSz,TRUE,101,resign,white,10+0,French Defense: Marshall Variation
ZzWyY1f8,TRUE,75,outoftime,white,10+0,Scotch Game
mkKSL3Ev,TRUE,135,mate,white,10+0,French Defense: Advance Variation |  Main Line
aVwWNjNR,TRUE,81,outoftime,white,10+0,Philidor Defense
DNUmSBH4,TRUE,46,resign,black,10+0,Gruenfeld Defense
Tlng5eqN,TRUE,70,mate,black,10+0,French Defense: Knight Variation
wljkejE0,TRUE,39,resign,white,10+0,French Defense: Rubinstein Variation |  Fort Knox Variation
iNZuj8bY,TRUE,91,resign,white,10+0,Queen's Gambit Declined: Traditional Variation
Kan2JKOp,TRUE,137,outoftime,white,10+0,Queen's Gambit Accepted: Old Variation
bCUwPEJ7,TRUE,46,resign,black,10+0,French Defense: Advance Variation |  Paulsen Attack
zTwM10Si,TRUE,18,resign,black,10+0,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5
PBQ5Il7e,TRUE,28,resign,black,10+0,Queen's Gambit Accepted: Old Variation
