(BK)",411021,,02067901300,,02067901333,principal.sns@suryadatta.edu.in,http://www.suryadattaschool.org,2014,"Jun 16, 2014",SHEILA OKA,,"BA,MA,B.ED, PGDHRM",10,20,Secondary School,Provisional,"Apr 1, 2016","Mar 31, 2019",SURYADATTA EDUCATION FOUNDATION
OCTAGON PUBLIC SCHOOL,530552,HARYANA,SONEPAT,PANCHKULA,JAGDISH PUR DISTT SONEPAT HARYANA,131030,07805,2325461,253698,,stthomas_mds@sanchernet.in,,2002,"Apr 1, 2005",VINITA SINGH,2,MATRICULATE,0,0,Secondary School,Provisional,"Apr 1, 2009","Mar 31, 2014",M R EDU & CHARI TRUST
QUEEN'S VALLEY SCHOOL,2730599,DELHI,SOUTH WEST DELHI,DELHI,"SITE-B, SECTOR-8,DWARKA",110077,,25365145,,01125365147,namitaqvs@gmail.com,http://queensvalleyschool.org,2007,"Jul 2, 2007",NAMITA SHARMA,0,"M.A, B.ED, PHD",3,13,Senior Secondary,,"Apr 1, 2015","Mar 31, 2020",DURGA PARVATI KHAITAN MEMORIAL CENTRE
DEEPAK MEMORIAL ACADEMY,1030125,MADHYA PRADESH,SAGAR,AJMER,OPPOSITE KRISHNA MANDIR RAJAKEHRI ANAND NAGAR MAKRONIA  SAGAR MADHYA PRADESH,470001,07582,230149,725177,,jaiswalamul@gmail.com,,1993,"Apr 1, 2005",RITOO JAISWAL,2,"M.SC.,M.ED.",15,14,Senior Secondary,Provisional,"Apr 1, 2015","Mar 31, 2020",DEEPAK MEM ACADEMY
DAYAL PUBLIC SCHOOL,330408,BIHAR,NAWADAH,PATNA,"MADHO BIGHA,PATNA RANCHI ROAD,P.O. ORHANPUR,THANA MOFFASSIL,DIST.NAWADAH",805123,,227109,,210640,mpsinha1965@gmail.com,,1999,"Jan 7, 1999",MAHENDRA PRASAD SINHA,0,"M.SC.,B.ED.,LLB.",5,11,Senior Secondary,Provisional,"Apr 1, 2016","Mar 31, 2019",DAYAL EDUCATIONAL ORGANISATION AND SOCIAL WELFARE TRUST
SRI GURU HAKRISHAN SEN. SEC. PUBLIC SCHOOL,1630702,PUNJAB,TARANTARAN,PANCHKULA,"BHAMNI WALA ROAD
PATTI",143416,,244545,,01832226643,jollymooker7@gmail.com,http://www.chiefkhalsadiwan.com,1977,"Apr 1, 1977",JAGBIR SINGH,0,"M.SC. (BOTANY), M.A. ENG(EDU), M.ED.",7,14,Senior Secondary,Provisional,"Apr 1, 2017","Mar 31, 2022",CHIEF KHALSA DIWAN
GOVT. ADARSH SCHOOL,1620014,PUNJAB,FEROZEPUR,PANCHKULA,"BUKAN KHAN WALA, P.O. DHIRA PATRA, TEHSIL - FEROZEPUR",152003,01632,2258044,9417212688,,neelamkhochhar27@gmail.com,,1991,"Apr 1, 1991",NEELAM RANI,2,,,,Senior Secondary,Provisional,"Apr 1, 2013","Mar 31, 2015",NAVODAYA VIDYALAYA SAMITI
HOLY CROSS SCHOOL KUMARGHAT,2030027,TRIPURA,NORTH TRIPURA,GUWAHATI,"HOLY CROSS SCHOOL,PABIACHERRA ( P.O), KUMARGHAT - 799264",799264,,4261225,,,aneeshcsc@yahoo.com,,2008,"Jan 17, 2008",ANEESH MATHEW,0,"M.A, B.ED",5,12,Secondary School,Provisional,"Apr 1, 2015","Mar 31, 2018",HOLY CROSS EDUCATIONAL FOUNDATION
VAISH MODEL SR. SEC SCHOOL,530108,HARYANA,BHIWANI,PANCHKULA,"LOHARU ROAD CHETNA SADAN BHIWANI, HARYANA",125002,01741,242386,01741224366,224367,vmsbhiwani@gmail.com,,1980,"Apr 1, 2009",KAMLA GUREJA,1,"M.A,B.ED.",19,4,Senior Secondary,Provisional,"Apr 1, 2015","Mar 31, 2020",VAISHMAHA VIDYALAYA TRUST
BHAGWAN SRICHAND PUBLIC HIGH SCHOOL,1030481,MADHYA PRADESH,CHHINDWARA,AJMER,NEW BAIL BAZAR P.G. COLLAGE ROAD CHHINDWARA CHHINDWARA MADHYA PRADESH,480001,,243096,,,barkha165@gmail.com,,2005,"Apr 1, 2005",BARKHA BEDI,0,,,,Senior Secondary,Provisional,"Apr 1, 2017","Mar 31, 2022",MOTHER TERESA EDUCATIONAL FOUNDATION
SHREE SHREEJI ENGLISH MEDIUM SCHOOL,430115,GUJARAT,NAVSARI,AJMER,"AT & PO. VALOTI, GANDEVI - BILIMORA RD., TA. GANDEVI, DI. NAVSARI",396380,01883,263855,018742414183577,,krupaparmar76@gmail.com,http://www.swaminarayanschoolvaloti.com,2001,"Jun 1, 2000",KRUPA SHAILESH PARMAR,2,"B.SC., D.M.L.T., B.ED.",7,5,Senior Secondary,Provisional,"Apr 1, 2013","Mar 31, 2018",SHREE SHYAM SUNDER ASHRAM
